# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_PHY_001_024
# Dataset: cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m
# Variable: Sea water potential temperature (thetao) degrees_C
# Geometry: POINT (-81.225109 -1.109243)
# Values from graph: v(h): value vs. elevation
# Date: 23/06/2025 00:00

depth,thetao
0.49402499198913574,24.66291046142578
1.5413750410079956,24.66516876220703
2.6456689834594727,24.647729873657227
3.8194949626922607,24.612667083740234
5.078224182128906,24.582176208496094
6.440614223480225,24.56084442138672
7.92956018447876,24.545528411865234
9.572997093200684,24.510282516479492
11.404999732971191,24.374752044677734
13.467140197753906,24.01194953918457
15.810070037841797,23.428476333618164
18.495559692382812,22.6607608795166
21.598819732666016,21.737457275390625
25.211410522460938,21.043319702148438
29.444730758666992,20.540176391601562
34.43415069580078,19.992082595825195
40.344051361083984,19.382844924926758
47.37369155883789,18.989219665527344
55.76428985595703,18.679895401000977
65.80726623535156,18.59465789794922
