# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_BGC_001_028
# Dataset: cmems_mod_glo_bgc-pft_anfc_0.25deg_P1D-m
# Variable: Mass concentration of chlorophyll a in sea water (chl) mg m-3
# Geometry: POINT (-81.225109 -1.140326)
# Values from graph: v(h): value vs. elevation
# Date: 23/06/2025 00:00

depth,chl
0.4940253794193268,2.4488024711608887
1.5413753986358643,2.4484550952911377
2.6456685066223145,2.4476547241210938
3.8194947242736816,2.4460959434509277
5.078223705291748,2.4431002140045166
6.440614223480225,2.4364800453186035
7.92956018447876,2.417799949645996
9.572997093200684,2.355154037475586
11.40500259399414,2.169288396835327
13.467138290405273,1.7734413146972656
15.810072898864746,1.2118024826049805
18.495559692382812,0.6870864629745483
21.59881591796875,0.4137609004974365
25.211408615112305,0.3335191309452057
29.44472885131836,0.28261327743530273
34.43415451049805,0.23805208504199982
40.344051361083984,0.20855025947093964
47.373687744140625,0.18706466257572174
55.76428985595703,0.14515437185764313
65.8072738647461,0.11528197675943375
