# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_PHY_001_024
# Dataset: cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m
# Variable: Sea water salinity (so) 1e-3
# Geometry: POINT (-81.225109 -1.140326)
# Values from graph: v(h): value vs. elevation
# Date: 23/06/2025 00:00

depth,so
0.49402499198913574,34.05622100830078
1.5413750410079956,34.05593490600586
2.6456689834594727,34.05540466308594
3.8194949626922607,34.05461120605469
5.078224182128906,34.05420684814453
6.440614223480225,34.05475997924805
7.92956018447876,34.05997085571289
9.572997093200684,34.08220672607422
11.404999732971191,34.14380645751953
13.467140197753906,34.25856018066406
15.810070037841797,34.41716766357422
18.495559692382812,34.58845901489258
21.598819732666016,34.761226654052734
25.211410522460938,34.88618087768555
29.444730758666992,34.99924087524414
34.43415069580078,35.1302375793457
40.344051361083984,35.21442794799805
47.37369155883789,35.23324966430664
55.76428985595703,35.205257415771484
65.80726623535156,35.214210510253906
