# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_BGC_001_028
# Dataset: cmems_mod_glo_bgc-bio_anfc_0.25deg_P1D-m
# Variable: Mole concentration of dissolved molecular oxygen in sea water (o2) mmol m-3
# Geometry: POINT (-81.234673 -1.118807)
# Values from graph: v(h): value vs. elevation
# Date: 23/06/2025 00:00

depth,o2
0.4940253794193268,222.75320434570312
1.5413753986358643,222.7723846435547
2.6456685066223145,222.7806854248047
3.8194947242736816,222.77493286132812
5.078223705291748,222.7460479736328
6.440614223480225,222.67001342773438
7.92956018447876,222.46310424804688
9.572997093200684,221.8078155517578
11.40500259399414,219.44276428222656
13.467138290405273,211.12171936035156
15.810072898864746,192.8554229736328
18.495559692382812,168.84217834472656
21.59881591796875,147.5902099609375
25.211408615112305,129.59046936035156
29.44472885131836,116.20955657958984
34.43415451049805,104.54618072509766
40.344051361083984,95.547607421875
47.373687744140625,91.5184555053711
55.76428985595703,89.70008850097656
65.8072738647461,88.83007049560547
