# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_PHY_001_024
# Dataset: cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m
# Variable: Sea water potential temperature (thetao) degrees_C
# Geometry: POINT (-81.234673 -1.293353)
# Values from graph: v(h): value vs. elevation
# Date: 23/06/2025 00:00

depth,thetao
0.49402499198913574,24.46027374267578
1.5413750410079956,24.458633422851562
2.6456689834594727,24.416507720947266
3.8194949626922607,24.371381759643555
5.078224182128906,24.339778900146484
6.440614223480225,24.316930770874023
7.92956018447876,24.2768497467041
9.572997093200684,24.141996383666992
11.404999732971191,23.81649398803711
13.467140197753906,23.325485229492188
15.810070037841797,22.708646774291992
18.495559692382812,22.107908248901367
21.598819732666016,21.71409797668457
25.211410522460938,21.206262588500977
29.444730758666992,20.567392349243164
34.43415069580078,19.85065269470215
40.344051361083984,19.35561180114746
47.37369155883789,19.015464782714844
55.76428985595703,18.76885986328125
65.80726623535156,18.4979248046875
