# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_BGC_001_028
# Dataset: cmems_mod_glo_bgc-bio_anfc_0.25deg_P1D-m
# Variable: Mole concentration of dissolved molecular oxygen in sea water (o2) mmol m-3
# Geometry: POINT (-81.234673 -1.293353)
# Values from graph: v(h): value vs. elevation
# Date: 23/06/2025 00:00

depth,o2
0.4940253794193268,222.4147186279297
1.5413753986358643,222.42599487304688
2.6456685066223145,222.42115783691406
3.8194947242736816,222.3909149169922
5.078223705291748,222.31016540527344
6.440614223480225,222.09779357910156
7.92956018447876,221.43118286132812
9.572997093200684,219.1061553955078
11.40500259399414,212.7244415283203
13.467138290405273,200.25099182128906
15.810072898864746,181.2826385498047
18.495559692382812,159.89930725097656
21.59881591796875,142
25.211408615112305,128.7157745361328
29.44472885131836,117.25989532470703
34.43415451049805,107.62798309326172
40.344051361083984,100.209716796875
47.373687744140625,95.77088165283203
55.76428985595703,92.23491668701172
65.8072738647461,88.69801330566406
