# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_PHY_001_024
# Dataset: cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m
# Variable: Sea water salinity (so) 1e-3
# Geometry: POINT (-81.234673 -1.293353)
# Values from graph: v(h): value vs. elevation
# Date: 23/06/2025 00:00

depth,so
0.49402499198913574,34.066341400146484
1.5413750410079956,34.06604766845703
2.6456689834594727,34.06525802612305
3.8194949626922607,34.06484603881836
5.078224182128906,34.06565856933594
6.440614223480225,34.070377349853516
7.92956018447876,34.08734130859375
9.572997093200684,34.131107330322266
11.404999732971191,34.21734619140625
13.467140197753906,34.33912658691406
15.810070037841797,34.493404388427734
18.495559692382812,34.64715576171875
21.598819732666016,34.75075912475586
25.211410522460938,34.87432098388672
29.444730758666992,35.02332305908203
34.43415069580078,35.14362335205078
40.344051361083984,35.13779067993164
47.37369155883789,35.10658264160156
55.76428985595703,35.19337844848633
65.80726623535156,35.20225524902344
