# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_PHY_001_024
# Dataset: cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m
# Variable: Sea water potential temperature (thetao) degrees_C
# Geometry: POINT (-81.370935 -1.164901)
# Values from graph: v(h): value vs. elevation
# Date: 24/06/2025 00:00

depth,thetao
0.49402499198913574,24.67116928100586
1.5413750410079956,24.670181274414062
2.6456689834594727,24.645524978637695
3.8194949626922607,24.618486404418945
5.078224182128906,24.59149932861328
6.440614223480225,24.555177688598633
7.92956018447876,24.483186721801758
9.572997093200684,24.263391494750977
11.404999732971191,23.88045883178711
13.467140197753906,23.344165802001953
15.810070037841797,22.692781448364258
18.495559692382812,22.017074584960938
21.598819732666016,21.34575080871582
25.211410522460938,20.769479751586914
29.444730758666992,20.167139053344727
34.43415069580078,19.560832977294922
40.344051361083984,19.132640838623047
47.37369155883789,18.871047973632812
55.76428985595703,18.655681610107422
65.80726623535156,18.588394165039062
